names,satisfaction_level,last_evaluation,number_project,average_monthly_hours,exp_in_company,work_accident,left,promotion_last_5years,role,salary
Sharon Curry,0.39,0.5,2,136,3,0,1,0,management,low
Earline Mallari,0.45,0.45,2,132,3,0,1,0,marketing,low
Tammy Seay,0.1,0.95,7,301,4,0,1,0,marketing,low
Kelli Williams,0.9,0.98,5,243,6,0,1,0,marketing,low
Harold Hathcock,0.45,0.51,2,147,3,0,1,0,sales,low
Nina Sherman,0.79,0.89,5,239,5,0,1,0,sales,low
Michael Jimenez,0.9,0.99,5,260,5,0,1,0,sales,low
Edward Ash,0.11,0.84,7,296,4,0,1,0,sales,low
Michael Morris,0.43,0.55,2,129,3,0,1,0,sales,low
Alejandro Ringo,0.31,0.54,5,132,5,0,1,0,sales,low
Andrew Horst,0.32,0.5,2,135,5,0,1,0,sales,low
Gary Boyd,0.45,0.57,2,158,3,0,1,0,sales,low
Beth Hilderbrandt,0.81,0.99,4,259,5,0,1,0,sales,low
Cheri Kassab,0.41,0.46,2,160,3,0,1,1,sales,low
Anthony Smith,0.11,0.78,7,278,4,0,1,0,sales,low
Audrey Vascocu,0.1,0.88,6,284,4,0,1,0,sales,low
Emily Moreno,0.7,0.53,2,274,4,0,1,0,sales,low
Dwayne Dewitt,0.54,0.74,4,164,2,0,1,0,sales,low
Marion Pedersen,0.41,0.48,2,148,3,0,1,0,sales,low
Stephan Adams,0.38,0.5,2,140,3,0,1,0,sales,medium
Ryan Smith,0.37,0.51,2,127,3,0,1,0,sales,medium
Stephen Kirkman,0.11,0.85,6,308,5,0,1,0,sales,medium
Gregory Kirkpatrick,0.4,0.47,2,146,3,0,1,0,sales,medium
Mary Pendergast,0.1,0.84,6,261,4,0,1,0,accounting,medium
Devin Walker,0.89,0.99,5,257,5,0,1,0,accounting,medium
David Brack,0.11,0.8,6,285,4,0,1,0,accounting,medium
Robert Ferguson,0.36,0.55,2,141,3,0,1,0,hr,medium
Jimmy Thrasher,0.4,0.46,2,127,3,0,1,0,hr,medium
Larry Bromley,0.09,0.85,6,297,4,0,1,0,hr,medium
Dennis Murray,0.4,0.46,2,143,3,0,1,0,hr,medium
Edwin Chism,0.37,0.55,2,152,3,0,1,0,technical,medium
Joshua Bechtel,0.44,0.51,2,156,3,0,1,0,technical,high
Robert Taylor,0.09,0.8,7,283,5,0,1,0,technical,low
Estella Rea,0.92,0.87,4,226,6,1,1,0,technical,medium
Wayne Sparks,0.74,0.91,4,232,5,0,1,0,technical,medium
Andrew Tunstall,0.09,0.82,6,249,4,0,1,0,technical,medium
Stanley Mahajan,0.89,0.95,4,275,5,0,1,0,technical,medium
Anna Billingsley,0.09,0.8,6,304,4,0,1,0,technical,low
Agnes Magan,0.27,0.54,7,278,3,0,1,0,technical,low
William Chase,0.1,0.91,6,287,4,0,1,0,technical,low
Floyd Meinzer,0.1,0.89,7,285,4,0,1,0,technical,low
Charlie Odell,0.77,0.94,5,226,6,0,1,0,support,low
Susan Jensen,0.9,0.82,5,259,5,0,1,0,support,low
Sara Cordeiro,0.39,0.5,2,135,3,0,1,0,support,low
Charles Smith,0.76,1,5,219,5,0,1,0,support,low
Annette Lopez,0.1,0.93,6,256,4,0,1,0,support,low
Jennifer Franklin,0.87,0.9,5,254,6,0,1,0,support,low
James Ceja,0.38,0.5,2,153,3,0,1,0,support,low
Zulma Knoll,0.77,0.99,5,228,5,0,1,0,support,low
Susan Davis,0.78,0.87,4,228,5,0,1,0,support,low
Dennis Carr,0.44,0.5,2,128,3,0,1,0,support,low
Emma Vincente,0.38,0.52,2,153,3,0,1,0,support,low
William Baugh,0.43,0.46,2,156,3,0,1,0,technical,low
Dell Blackburn,0.39,0.5,4,294,3,0,1,0,technical,low
Nathan Blue,0.88,1,5,219,5,0,1,0,technical,low
Richard Virgil,0.45,0.46,2,153,3,0,1,0,management,low
George Anderson,0.4,0.53,2,151,3,0,1,0,IT,low
Sandra Correy,0.36,0.51,2,155,3,0,1,0,IT,low
Sherry Rose,0.36,0.48,2,158,3,0,1,0,IT,low
Amy Cruz,0.9,0.98,5,245,5,0,1,0,IT,low
Antoinette Boyce,0.43,0.53,2,131,3,0,1,0,IT,low
Gwendolyn Herod,0.89,0.87,5,225,5,0,1,0,product_mng,low
Mary Chandler,0.1,0.84,6,286,4,0,1,0,product_mng,low
Justin Cornelison,0.37,0.5,2,135,3,0,1,0,product_mng,low
Maria Davis,0.37,0.51,2,153,3,0,1,0,product_mng,low
Justin Desbiens,0.87,0.9,5,252,5,0,1,0,IT,low
Loren Tyler,0.4,0.56,2,149,3,0,1,0,accounting,low
Robert Katz,0.9,0.97,4,258,5,0,1,0,accounting,low
Arturo Ratliff,0.37,0.46,2,158,3,0,1,0,hr,low
Michael Tyndall,0.44,0.54,2,149,3,0,1,0,hr,low
Melanie Walker,0.85,0.95,5,236,5,0,1,0,hr,low
Reva Lucas,0.78,0.98,5,239,6,0,1,0,marketing,low
Constance Caldwell,0.42,0.47,2,159,3,0,1,0,marketing,low
Frank Singer,0.92,0.99,5,255,6,0,1,0,sales,low
Marlana Walton,0.11,0.83,6,244,4,0,1,0,accounting,low
Alan Herbert,0.42,0.56,2,134,3,0,1,0,support,low
Muriel Zastawny,0.48,0.57,4,270,4,0,1,0,technical,low
Sharon Bunnell,0.83,0.85,4,255,5,0,1,0,management,low
Nina Adam,0.4,0.53,2,151,3,0,1,0,marketing,low
Douglas Molina,0.43,0.45,2,135,3,0,1,0,marketing,low
Maude Delong,0.43,0.53,2,146,3,0,1,0,marketing,low
Mark Cuevas,0.1,0.97,7,254,4,0,1,0,sales,low
Mary Kallam,0.1,0.87,7,289,4,0,1,0,sales,low
Josephine Rodriguez,0.37,0.46,2,156,3,0,1,0,sales,low
Edith Redding,0.38,0.53,2,156,3,0,1,0,sales,low
Charles Mason,0.4,0.5,2,128,3,0,1,0,sales,low
Robert Morrell,0.89,0.86,5,275,5,0,1,0,sales,low
Gloria Evans,0.45,0.46,2,155,3,0,1,0,sales,low
Mark Henderson,0.37,0.48,2,159,3,0,1,0,sales,low
Margarito Eller,0.46,0.49,2,148,3,0,1,0,sales,low
Raymond Penoyer,0.87,0.91,4,228,5,0,1,0,sales,low
Michelle Kelly,0.11,0.84,6,298,4,0,1,0,sales,low
Anita Brown,0.79,0.87,5,261,5,0,1,0,sales,low
Kurt Wegman,0.79,0.92,5,254,6,0,1,0,sales,low
Timothy Webber,0.19,0.59,7,192,3,0,1,0,sales,low
Clarence Gaddy,0.87,0.98,4,248,5,0,1,0,sales,low
Ida Mccabe,0.6,0.92,2,258,5,0,1,0,sales,low
Teresa Maginnis,0.44,0.45,2,156,3,0,1,0,sales,medium
John Prescott,0.11,0.81,6,266,4,1,1,0,sales,medium
Nancy Stevens,0.42,0.54,2,156,3,0,1,0,sales,medium
Marvin Adams,0.88,0.88,5,232,5,1,1,0,accounting,medium
Matthew Tucholski,0.11,0.84,6,287,4,0,1,0,accounting,medium
Elias Wizar,0.46,0.46,2,154,3,0,1,0,accounting,medium
Eric Banks,0.82,0.97,5,263,5,0,1,0,hr,medium
Juanita Deshay,0.44,0.56,2,131,3,0,1,0,hr,medium
William Whatley,0.11,0.78,6,260,4,0,1,0,hr,medium
Joseph Williams,0.42,0.5,2,139,3,0,1,0,hr,medium
William Richmond,0.84,0.93,4,251,5,0,1,0,technical,medium
Dina Boykin,0.11,0.95,6,286,4,0,1,0,technical,medium
Theodora Hutson,0.45,0.53,2,129,3,0,1,0,technical,high
William Baker,0.38,0.56,2,156,3,0,1,0,technical,low
Luke Fuson,0.38,0.86,6,139,6,0,1,0,technical,medium
Amanda Best,0.44,0.51,2,127,3,0,1,0,technical,medium
Margaret Solis,0.11,0.84,6,251,4,0,1,0,technical,medium
Shawana Nava,0.81,0.93,5,270,5,0,1,0,technical,medium
Michael Huff,0.09,0.96,6,296,4,0,1,0,technical,low
Raymundo Magana,0.11,0.9,6,254,4,0,1,0,technical,low
Carolyn Tate,0.81,0.95,5,238,6,0,1,0,technical,low
Ronald Cammack,0.1,0.97,6,267,4,1,1,0,support,low
Miriam Williams,0.74,0.89,5,229,6,0,1,0,support,low
Rachel Mervis,0.09,0.78,6,254,4,0,1,0,support,low
Linda Hussein,0.82,0.81,4,233,4,1,1,0,support,low
George Wilson,0.1,0.98,6,268,4,0,1,0,support,low
Richard Else,0.27,0.56,3,301,3,0,1,0,support,low
Beryl Kriss,0.83,0.92,5,267,6,0,1,0,support,low
Bobby Lockhart,0.1,0.93,6,289,4,1,1,0,support,low
Gabrielle Davis,0.38,0.47,2,144,3,0,1,0,support,low
Jean Wheeler,0.4,0.56,2,148,3,0,1,0,support,low
Andres Klein,0.11,0.83,6,306,4,0,1,0,support,low
Irene Kottke,0.11,0.79,6,292,4,0,1,1,technical,low
Laverne Johnson,0.82,0.91,5,232,5,0,1,0,technical,low
Mona Hart,0.36,0.48,2,137,3,0,1,0,technical,low
Patricia Desorcy,0.4,0.46,2,128,3,0,1,0,management,low
Joan Hall,0.87,0.84,5,231,5,0,1,0,IT,low
Danny Vogus,0.41,0.49,2,146,3,0,1,0,IT,low
James Petty,0.11,0.91,6,308,4,1,1,0,IT,low
Matthew Mcburrough,0.1,0.93,6,253,4,0,1,0,IT,medium
Marshall Collins,0.38,0.51,2,146,3,0,1,0,IT,medium
Mary Staton,0.39,0.55,2,156,3,0,1,0,product_mng,medium
Irene Dawson,0.4,0.52,2,147,3,0,1,0,product_mng,medium
Donna Cargo,0.45,0.48,2,136,3,0,1,0,product_mng,medium
Mary Roman,0.74,0.84,5,249,5,0,1,0,product_mng,medium
Pamela Harrison,0.45,0.55,2,151,3,0,1,0,IT,medium
Bryan Linch,0.12,1,3,278,4,0,1,0,RandD,medium
Ruth Acosta,0.1,0.77,7,250,5,0,1,0,RandD,medium
Kathryn Farrar,0.37,0.55,2,127,3,0,1,0,RandD,medium
Nancy Fultz,0.89,0.87,5,255,5,0,1,0,RandD,medium
Amanda Rowton,0.45,0.47,2,135,3,0,1,0,RandD,medium
Thomas Ragland,0.37,0.46,2,149,3,0,1,0,marketing,high
Maria Morein,0.11,0.81,5,287,4,0,1,0,sales,low
Thelma Curtis,0.41,0.48,2,145,3,0,1,0,accounting,medium
Joseph Freeman,0.1,0.94,6,285,4,0,1,0,support,medium
Guadalupe Shephard,0.1,0.93,7,305,4,0,1,0,technical,medium
Anita Davis,0.11,0.95,7,300,4,0,1,0,management,medium
Lucille Turner,0.4,0.54,2,139,3,0,1,0,marketing,low
Anita Stone,0.41,0.49,2,130,3,0,1,0,marketing,low
Betty Black,0.1,0.81,6,268,4,0,1,0,marketing,low
Anthony Dunbar,0.73,0.86,4,245,6,0,1,0,sales,low
Michael Fricke,0.43,0.47,2,135,3,0,1,0,sales,low
Patti Montanez,0.37,0.46,2,153,3,0,1,0,sales,low
Luis Smith,0.11,0.94,6,276,4,0,1,0,sales,low
Kevin Postlewait,0.4,0.46,2,130,3,0,1,0,sales,low
Marc Collette,0.41,0.54,2,153,3,1,1,0,sales,low
Dan Stringham,0.82,0.84,5,244,5,0,1,0,sales,low
Cedric Voves,0.61,0.47,2,253,3,0,1,0,sales,low
Elizabeth Brandon,0.11,0.91,7,287,4,0,1,0,sales,low
Mai Mccarthy,0.37,0.45,2,131,3,0,1,0,sales,low
Flora Geis,0.41,0.52,2,135,3,0,1,0,sales,low
Jean Harvey,0.37,0.52,2,157,3,0,1,0,sales,low
Nancy Kingston,0.88,0.99,5,262,6,0,1,0,sales,low
Willie Peterson,0.1,0.85,6,266,4,0,1,0,sales,low
John Millman,0.44,0.48,2,148,3,0,1,0,sales,low
Demetria Neal,0.38,0.57,2,140,3,0,1,0,sales,low
Arlene Lafferty,0.11,0.85,7,302,4,0,1,0,sales,low
Abby Grev,0.09,0.98,6,271,4,0,1,0,sales,low
Audrey Scott,0.45,0.52,2,145,3,0,1,0,sales,medium
Albert Angel,0.1,0.81,6,290,4,0,1,0,accounting,medium
Bertha Boyd,0.45,0.47,2,151,3,0,1,0,accounting,medium
Mae Willis,0.77,0.87,5,266,5,0,1,0,accounting,medium
Paula Hillier,0.44,0.51,2,140,3,0,1,0,hr,medium
Francis Anderson,0.39,0.5,2,142,3,0,1,0,hr,medium
Stanley Johnson,0.1,0.91,6,246,4,0,1,0,hr,medium
Doris Bullins,0.09,0.89,7,308,5,0,1,0,hr,medium
Mark Kitchen,0.37,0.47,2,141,3,0,1,0,technical,medium
Eugene Horton,0.9,1,5,232,5,0,1,0,technical,medium
Charles Stuckey,0.41,0.56,2,143,3,0,1,0,technical,medium
Christopher Covarrubias,0.37,0.52,2,155,3,0,1,0,technical,medium
Roxie Greeley,0.1,0.86,6,278,4,0,1,0,technical,high
Preston Mchenry,0.81,1,4,253,5,0,1,0,technical,low
Eduardo Joyner,0.11,0.8,6,282,4,0,1,0,technical,medium
Chandra Risenhoover,0.11,0.84,7,264,4,0,1,0,technical,medium
Rodney Wheeler,0.4,0.46,2,149,3,0,1,0,technical,medium
Marion Skinner,0.09,0.8,6,304,5,0,1,0,technical,medium
John Fairbank,0.48,0.93,3,219,6,0,1,0,technical,low
Elaina Dudley,0.91,0.91,4,262,6,0,1,0,support,low
Celia Lovaglio,0.43,0.57,2,135,3,0,1,0,support,low
Deborah Banvelos,0.33,0.88,6,219,5,0,1,0,support,low
Charlene Andrews,0.41,0.57,2,136,3,0,1,0,support,low
Hallie Anton,0.41,0.55,2,154,3,0,1,0,support,low
Dora Whitmire,0.37,0.54,2,149,3,0,1,0,support,low
Michael Whitley,0.31,0.62,6,135,5,0,1,0,support,low
Brian Sanchez,0.09,0.91,6,275,4,0,1,0,support,low
Paul Bell,0.1,0.87,6,290,4,0,1,0,support,low
Jason Bruno,0.76,0.9,4,263,5,0,1,0,support,low
Joy Madrigal,0.41,0.54,2,145,3,0,1,0,support,low
Paul Zalewski,0.72,0.96,5,267,5,0,1,0,technical,low
Latonia Zenon,0.4,0.5,2,141,3,1,1,0,technical,low
Sheila Maslow,0.91,0.87,4,235,5,0,1,0,technical,low
Kathryn Williams,0.1,0.83,6,258,4,0,1,0,management,low
Jason Okeefe,0.4,0.56,2,131,3,0,1,0,IT,low
Amanda Silva,0.82,0.86,5,243,5,0,1,0,IT,low
Helen Shelly,0.1,0.82,6,266,4,0,1,0,IT,low
Nicole Honahni,0.37,0.45,2,142,3,0,1,0,IT,low
Jacquelyn Bungard,0.36,0.51,2,135,3,0,1,0,IT,low
Catherine Lovecchio,0.39,0.48,2,141,3,0,1,0,product_mng,medium
Adela Smith,0.36,0.57,2,142,3,0,1,0,product_mng,medium
Lori Dardar,0.86,0.84,5,254,5,0,1,0,product_mng,medium
Gregory Charlton,0.73,0.99,5,262,5,0,1,0,product_mng,medium
Sammie Fernandez,0.56,0.71,4,296,2,0,1,0,IT,medium
Betty Fewell,0.44,0.56,2,158,3,0,1,0,accounting,medium
Ashley Brighton,0.31,0.56,4,238,2,0,1,0,accounting,medium
Lois Campbell,0.77,0.93,4,231,5,0,1,0,hr,medium
Geraldine English,0.44,0.45,2,156,3,0,1,0,hr,medium
Leland Kovac,0.38,0.46,2,145,3,0,1,0,hr,medium
James Richardson,0.45,0.48,2,144,3,0,1,0,marketing,medium
Whitney Craig,0.38,0.51,2,159,3,0,1,0,sales,medium
Lisa Peale,0.36,0.48,2,156,3,0,1,0,accounting,high
Rodney Mcnulty,0.75,0.9,5,256,5,0,1,0,support,low
Suzanne Hutchinson,0.1,0.93,6,298,4,0,1,0,technical,medium
Cynthia Behring,0.1,0.97,6,247,4,0,1,0,management,medium
Lori Ottis,0.45,0.5,2,157,3,0,1,0,marketing,medium
Darcie Parker,0.42,0.57,2,154,3,1,1,0,marketing,medium
Keenan Lance,0.78,1,4,253,5,0,1,0,marketing,low
Roy Shoemaker,0.45,0.55,2,148,3,0,1,0,sales,low
Peter King,0.84,1,4,261,5,0,1,0,sales,low
Avis Ebert,0.11,0.93,6,282,4,0,1,0,sales,low
Linda Cusson,0.42,0.56,2,133,3,0,1,0,sales,low
Rachel Moran,0.45,0.46,2,128,3,0,1,0,sales,low
Natasha Williams,0.46,0.57,2,139,3,0,1,0,sales,low
Dan Barnes,0.09,0.79,6,293,5,0,1,0,sales,low
Thomas Bernardo,0.87,0.83,4,265,6,0,1,0,sales,low
Scott Ballew,0.1,0.87,6,250,4,0,1,0,sales,low
Karl Foster,0.91,1,5,251,6,0,1,0,sales,low
Delisa Marino,0.76,0.92,4,246,5,0,1,0,sales,low
Joseph Huntzinger,0.74,1,5,275,5,0,1,0,sales,low
Mayra Solomon,0.92,0.93,5,240,5,0,1,0,sales,low
Diane Boyer,0.76,0.87,5,245,5,0,1,0,sales,low
Crystal Cosgrove,0.47,0.5,4,254,4,0,1,0,sales,low
Clay Pisani,0.73,0.99,5,241,5,0,1,0,sales,low
Peter Goldberg,0.09,0.94,6,257,4,0,1,0,sales,low
Maryjo Holcomb,0.91,0.92,4,246,5,0,1,0,sales,low
Margaret Bishop,0.82,0.98,4,233,5,0,1,0,sales,low
Jeremy Billingsley,0.28,0.45,6,218,4,0,1,0,accounting,low
