id,names,satisfaction_level,last_evaluation,number_project,average_monthly_hours,exp_in_company,work_accident,promotion_last_5years,role,salary,salary_class,role_class
13324,Mattie Baker,0.75,0.51,2,215,2,1,0,sales,low,1,1
6250,Deborah Punches,0.49,0.94,5,136,3,0,0,product_mng,medium,2,5
1529,Ryan Gray,0.4,0.47,2,152,3,0,0,accounting,low,1,8
1523,Christopher Dunn,0.42,0.48,2,148,3,1,0,RandD,low,1,7
2815,Gregory Durfee,0.93,0.63,4,143,3,1,0,product_mng,low,1,5
4473,Margie Bates,0.28,0.83,5,279,4,0,0,technical,medium,2,2
3177,Sarah Reynolds,0.57,0.82,5,218,3,0,0,support,medium,2,3
13995,Barbara Kirtner,0.72,0.88,3,189,3,1,0,management,high,3,11
4161,Andrea Cox,0.9,0.74,3,260,4,0,0,technical,high,3,2
3002,Kathryn Phillip,0.43,0.63,3,156,3,0,0,sales,medium,2,1
1087,Virgil Edwards,0.73,0.92,4,273,5,0,0,sales,low,1,1
5887,Mary Boston,0.97,0.93,2,270,4,0,0,sales,low,1,1
6748,Lisa Keeney,0.98,0.74,4,139,3,0,0,hr,medium,2,9
1260,Joel Baker,0.09,0.95,6,260,4,1,0,technical,low,1,2
2298,Chris Groom,0.6,0.64,2,137,5,0,0,sales,medium,2,1
985,Cynthia Mooney,0.11,0.55,2,137,3,1,0,RandD,low,1,7
5094,Charles Patnode,0.96,0.51,3,237,4,0,0,technical,high,3,2
4715,Molly Graves,0.63,0.57,5,160,2,0,0,technical,low,1,2
11329,Cathy Swann,1,0.74,2,187,3,0,0,support,medium,2,3
12066,Jason Pittman,0.43,0.54,2,153,3,0,0,product_mng,medium,2,5
3694,Mathew Walsh,0.93,0.62,3,231,6,0,0,hr,medium,2,9
655,Lucy Segal,0.77,1,4,232,5,0,0,technical,medium,2,2
10370,Gilda Woods,0.98,0.89,5,181,3,0,0,product_mng,low,1,5
8347,Mark Brickhouse,0.97,0.6,6,168,5,1,0,sales,high,3,1
5765,Josefina Divers,0.59,0.9,4,226,2,0,0,technical,low,1,2
14340,Dennis Johnson,0.37,0.45,2,151,3,0,0,support,low,1,3
8704,Jean Hogan,0.49,0.99,6,230,4,0,0,accounting,low,1,8
13249,Melissa Brandenburg,0.61,0.52,3,224,3,0,0,hr,low,1,9
12405,Samuel Heuck,0.47,0.5,4,254,4,0,0,sales,low,1,1
10796,Kimberly Krenz,1,0.55,4,186,4,1,0,technical,medium,2,2
6113,Natalie Davis,0.7,0.98,4,146,3,0,0,marketing,low,1,6
12347,Helen Mccabe,0.11,0.8,6,282,4,0,0,technical,medium,2,2
7055,Sarah Maisano,0.49,0.83,3,168,4,1,0,hr,low,1,9
12712,Warren Repp,0.84,0.98,5,270,5,0,0,sales,low,1,1
10301,John Obermeyer,0.65,0.54,6,181,4,0,0,RandD,low,1,7
1382,Precious Isley,0.1,0.88,6,263,4,0,0,marketing,low,1,6
40,Beverly Richardson,0.87,0.88,5,269,5,0,0,technical,low,1,2
7845,Brian Stone,0.18,0.87,6,226,4,0,0,IT,high,3,4
12249,Marsha Corr,0.11,0.84,6,298,4,0,0,sales,low,1,1
6495,Margaret Diaz,0.6,0.71,3,195,2,0,0,sales,low,1,1
8342,James Hopper,0.93,0.62,3,184,3,0,0,sales,medium,2,1
12162,Robert Davis,0.45,0.51,2,147,3,0,0,sales,low,1,1
14646,Kevin Reid,0.41,0.47,2,135,3,0,0,support,low,1,3
10385,Mary Valdez,0.99,0.5,4,173,3,0,0,management,low,1,11
9524,William Jaeger,0.74,0.55,5,168,4,0,0,management,low,1,11
13936,John Booker,0.16,0.63,6,286,7,0,1,sales,medium,2,1
